data da venda,valor total da venda
2023-01-31,1289050.0
2023-02-28,4833498.0
2023-03-31,5456565.0
2023-04-30,4460737.0
2023-05-31,5276165.0
2023-06-30,6427417.0
2023-07-31,8364539.0
2023-08-31,1956701.0
2023-09-30,4730512.0
2023-10-31,5715772.0
2023-11-30,12028671.0
2023-12-31,16232927.0
2024-01-31,2447080.0
2024-02-29,3221089.0
2024-03-31,6359384.0
2024-04-30,3570032.0
2024-05-31,2993577.0
2024-06-30,7960992.0
2024-07-31,8896963.0
2024-08-31,4502793.0
2024-09-30,4510019.0
2024-10-31,8624578.0
2024-11-30,12182617.0
2024-12-31,15456088.0
2025-01-31,1495335.0
2025-02-28,11063913.0
2025-03-31,4317248.0
2025-04-30,3689994.0
2025-05-31,7076361.0
2025-06-30,9768866.0
2025-07-31,3725906.0
